Final Band Score,Rank
31.25,32043
31.66666667,31803
33.95833333,30599
35.83333333,29500
37.5,28300
39.375,27555
39.375,27503
40.0,27100
42.08333333,25719
45.41666667,23458
46.04166667,22810
47.70833333,21765
47.91666667,21285
48.54166667,20894
48.95833333,20490
49.79166667,19859
51.04166667,18716
51.66666667,18216
52.08333333,17960
52.70833333,17364
53.125,16900
53.75,16000
55.41666667,14983
56.66666667,14000
57.08333333,13652
57.5,13280
57.70833333,13171
58.95833333,13101
59.375,11994
59.58333333,11612
60.8333,11570
61.04166667,10600
61.25,10389
61.875,10127
62.08333333,9642
62.91666667,9472
63.95833333,8881
64.3,8800
64.79166667,7750
65.20833333,7454
66.04166667,7169
66.667,6610
66.875,6217
67.08333333,6051
67.29166667,5941
67.5,5859
67.91666667,5675
68.125,5434
68.33333333,5349
68.54166667,5193
69.16666667,5071
69.375,4675
69.58333333,4653
70.0,4483
70.20833333,4267
71.04166667,4170
71.25,3776
71.45833333,3553
71.875,3551
72.08333333,3383
72.29166667,3285
72.70833333,3144
72.91666667,2970
73.125,2896
73.54166667,2801
73.75,2665
73.95833333,2583
74.16666667,2493
74.375,2436
74.58333333,2370
75.0,2271
75.20833333,2100
75.625,2066
75.83333333,1936
76.04166667,1827
76.25,1800
76.45833333,1680
76.66666667,1648
76.875,1590
77.08333333,1549
77.29166667,1469
78.125,1399
78.33333333,1223
78.95833333,1200
79.16666667,1053
79.58333333,1000
80.20833333,941
81.25,831
81.45833333,625
81.66666667,605
82.08333333,585
82.70833333,533
84.375,450
84.375,305
85.0,298
85.41666667,238
85.83333333,216
88.54166667,187
91.25,83
